sentiment, sentence
3,PRO: -Cheap for the size -Decent picture quality CON ...
5,"Absolutely like new, wow."
3,Mouse too small and laggy. Keyboard seems okay.
2,it's not very comfortable to use
5,Absolutely beautiful!
5,Nice pillow case... FYI...no pillow included.
5,Cooking fever is the most challenging game ever!!!!!!!
3,"The mouse itself is really cool looking, and the buttons are great"
4,Tight fit for an iphone 8.5
5,"Works fine, battery great, no problems so for after weeks of use."
1,They do not last
5,Fits our blue tooth speaker great. At first was too snug to fit wire ...
5,Great phone. It's works perfectly fine
1,Returning it
5,Great little case
3,Love the keyboard and mouse
5,I phone 6
5,I like the FM radio function and use it all of ...
1,2nd worked great about 3 months
2,Cheap but disappointing
3,Good combo for the price but keyboard is ok
3,It works great for word processing and CAD and most things
5,"A very clean, slimline case that not only protects ..."
5,I bought this product for my girlfriend who had some ...
5,I bought this product for my girlfriend who had some ...
5,I bought this product for my girlfriend who had some ...
5,I bought this product for my girlfriend who had some ...
5,I bought this product for my girlfriend who had some ...
1,Ordering this product was a mistake!
1,Turning green
1,please not that just because this mouse has lights doesn't make it good.
2,2/5 glitchy product
1,Don't recommend!
1,Not Unlocked as Advertised
1,Not a great phone
2,Batterry
1,This keyboard is crap. I've had it for less than a year ...
1,"I have to say looks really great, but was unable to connect with the Internet"
1,BOTH KEYBOARDS HAVE FAILED
3,"Only good for regular use, not good for gaming or precision uses"
5,Addicted
4,Love the lengths of these
3,I like the price but I have to say it is ...
1,Keyboard eats batteries. It eats a pair of AAAs ...
5,I started up a tech review page on youtube. ...
1,Will not connect with all carriers
2,This phone is from Japan and camera click sound absolutely cannot be disabled and call volume is very low when at max
1,Think Twice Before You Buy This Product.
4,Smartphone with excellent performance. I recommend it
1,Doesnt work on all the systems it states
5,Nice sturdy case
5,Beautiful design
5,Great fit and great quality.
1,Beware - lack of 3G and poor camera performance. No gyroscope sensor. Fragile glass.
2,The size is cool. That's about it
1,This set arrived without the usb needed to connect the ...
2,Keyboard Was Unusable After 6 Weeks - Very Poor Quality
5,My dad likes it
5,"Great cables, brilliant product"
5,Item was n excellent condition!!
4,Great for the price.
2,adapter
1,We took a chance with a refurbished product. It ...
5,So far so good
5,So far so good
3,Keyboard wireless range is extremely short and there's no visual ...
1,Bought one before at the store and worked our great. Received this one and the mouse scroll ships ...
5,It works
3,This was packaged well and works fine..
2,"For pop"" music!"""
5,Great item
5,Great item
1,Bad connection
1,"Well, it is fully functional"
5,A Maker’s Mark Makeover
5,Great phone.
5,Just what I wanted
5,"Money Well Spent... Looks, feels and sounds like a quality product."
1,SCAM!!!!
2,and pretty much exactly as advertised
3,Standard Battery Powered Wireless Keyboard
2,"Worked for about a year, then died"
2,Decent Pairing
3,Super fast. Heck
1,Wasn't too bad but started to turn black and then go back ...
5,Great Buy!
5,... my cousin who is around 13/14 and they really liked the phone
4,"could have been packaged better, still working"
2,Cheap mouse
1,DONT WASTE YOUR TIME
3,Didn't track very well. Jittery. Tried two different ...
1,Find a better product than this piece of garbage.
1,Phone does not function!
5,you don't ave to press super hard nor is it too sensitive
5,Price was good
2,its good for the price
1,My phone smashed with the protector on.
2,"Someone may like it, but it's not for me!"
1,Dont waste your money
3,Occasional connectivity issues with both the keyboard and mouse from ...
3,Needs tweeking
5,RCA M1
2,like its set to break on you after little wear
5,"Quick delivery, nice product"
1,Down to my last one from 5. Cheap cables ...
1,Keeps breaking
1,Keyboard was broken out of the box -- would not ...
4,Ip6
3,Too little memory
5,Excellent protection
2,It is worst smartphone I have
1,this is not a uk phone as advertised
5,Good Deal. Good Price.
1,Lost signal
3,While it worked it was a perfect mouse but then when i connected it
5,so good. I like it a lot
5,Just get it.
4,Works well in Canada. Will guise it back in US
1,I need another The IPhone 6 .! It wasn’t unlocked it came with a passcode.
1,Did not work if further than 1.5 meters.
1,This is the worst keyboard it is not responsive
5,Wonder Serum
5,Wonder Serum
5,Wonder Serum
5,Wonder Serum
5,Wonder Serum
3,Like other's have pointed out
1,There is no return policy so I just wasted my money
4,Iphone cover
1,Might as well be wired
5,Dark eyes gone!
5,Dark eyes gone!
5,Dark eyes gone!
5,Dark eyes gone!
5,Dark eyes gone!
3,Super cute towles
2,But sadly the left mouse button began to fail pretty early on and completely stopped working
4,... come with a SIM card but it does work good.
3,Serves Purpose for a good price.
5,SUPER GREAT
4,ELIX HIDALGO
2,but the range on the keyboard is like 6 feet if there's 0 obstructions
1,I will not recommend this
1,horrible scroll wheel
2,Disappointing Scroll Wheel
3,Phone is ok but the battery will not stay charged ...
1,This phone gave me problems from i bought it. ...
2,Disappointed in weak mouse signal.
1,Not good
3,Mouse has a great fit and finish
5,very pleased with product
1,No im not happy stoped working within a week no water damage at ...
3,Breaks after 1 year exactly
3,Weak Connection
2,Had high hopes but to no avail...
3,"Bang for your buck, but $7.99 can only get you so far. RESEARCH OR RISK."
5,Good customer service
3,Its ok I guess
3,No wall mount
5,Great value
5,Great value
5,Great value
1,I may have gotten the bad version as it only lasted a month
1,phone stopped charging less that a month after i bought it
3,I got this for my husband - he stopped using ...
3,"Good sound, however..."
2,Poor battery condition
2,don't waste your money
1,Easily Cracked
2,Some function doesn't work.
2,The phone not in good condition like it was described I have weird noice ...
5,Well made and excellent value
5,Very good value
1,Not cleaned properly before selling.
1,Caution. Do not buy
3,Just a fancy light up mouse. Not comfortable.
4,MOST HONEST REVIEW
1,horrible experience vs virus w competition
2,Bought the phone for my daughter would not update carrier ...
5,Alysiajames237@gmail.com
5,For my Needs
3,To big for a females hands unless you have big hands.
1,We bought a phone with you and it almost exploited ...
1,DO NOT BUY - stopped functioning right after the return window closed. :(
4,What a good deal!
1,A little weak signal - did not last very long
5,Love this rose gold case :)
2,Flimsy mount
5,Worked well. I bought it for relative in Venezuela ...
2,"Cheap. Granted that's why I bought it, but ..."
5,Awesome product for the price
4,Good Buy
5,Nice Covers - Pillow Insert Info Would Be Helpful
1,works sometimes
1,Awful...
3,looks good but performance should be better.
4,Good case although not as soft as previous ones bought ...
5,iPad case was perfect but I ordered the wrong size phone case
1,Unreliable Electronics
2,I have another Logitech combo that when connected to the same computer works great Recommend purchasing a different
1,Fail apretiation.
5,These are amazing!!
4,4/5
5,This product was excellent. The screen protector is very stiff
4,Works fine!
2,There is sometimes a lag from keyboard and mouse. ...
4,I got this because it seems a shame to cover up the back of such a beautiful product like the new iPhone
1,Don't waste your time
1,Not a good product
2,Not a good phone for my trip
2,Very poor range
5,"A brilliant phone, all in working order"
2,The Mouse worked fine for about a month
2,Not bad
1,Please don't sale stuff like that.
1,Rear Camera not working
5,Braided cables that work well
1,The one star is because the exterior of the phone looked nice and intact
2,"Slow, glitchy, and bad battery. Sucks!"
1,JUNK
1,JUNK
2,"Had issues, but refunded was flawless."
1,So disappointed!
5,A Real Deal!
5,Nice Phone
2,"I do not recommend it, spend few extra dollar and get better"
3,Not very good.
2,Not recommended
5,... normally write reviews but this screen protector was so easy to fit and had no bubbles on first attempt
1,I wasted considerable time (read days) at the Apple store trying ...
4,It is pretty easy to understand and operate
5,Excellent condition. I just bought the wrong one
4,nice product.
2,overall not a great feel when handling the mouse
4,so good! She is very pleased with it
1,Tiny tablet.
5,Outstanding Earbuds you will not be dissapointed Recomend 100%
3,"Not a bad mouse, be careful with sensitivity lmao"
5,Best case i’ve had!
1,I loved it. Then the problems started
2,"This monitor is advertised as 21. 5 inches, ..."
5,Highly recommend.
5,Highly recommend.
5,Highly recommend.
5,I love it so much and the person I gate it ...
1,Now I realize that these are just terrible products and aren't worth your money
5,Awesome
5,Awesome
5,Awesome
1,Phone did not work. The home button would cause ...
3,Looking for wireless
3,Phone functions work pretty well as well as Android and its apps
1,Not like what i except
1,"Low Quality, Small Diameter Chord"
5,so good! Gave it to my daughter today
3,"it is a nice mouse, but I need the scroll wheel"
2,Worked for a few months then the connection between the ...
5,a great deal and i am shocked how nice this phone really is
5,"RCA G1 5.5Hd"""
1,Arrived dead would not turn on
4,It works great and I am very happy with it
2,I'm not satisfied with this one and I'm replacing it right away
1,"I bought it for a friend, however, it ..."
5,Worth the buy
1,Phone Had a Defective Screen
1,Already stopped working!
3,"good model, i like the way it look however ..."
3,Almost upset
2,Better ones out there.
2,It is a slick weird material that is very cheaply ...
1,Damaged
1,I should have listened to the other review's
2,Stay clear of this product.
1,"not a good phone, lie after lie"
5,... very nervous purchasing from an unknown company that could've easily ripped me off
1,Sticks on my mouse pad when moving
2,Not Enough Room
3,"Not the greatest, but okay for price."
1,Trust the reviews from other buyers.
1,Not refurbished to the standard that i thought that the ...
5,Good Mobile Phone at a very reasonable affordable price
3,Perfect wireless keyboard
1,This mouse is usually great when it first arrives
3,"Good Mouse/Keyboard, But Don't Expect 10 Meters of Range"
1,Very disappointed. It is cheap so if you choose to ...
1,Phone does not work!
5,"Very good phone, liked it."
4,item arrived and was exactly as described.
1,"The mouse is good, the kbd is horrible"
1,Verify country where assembled before buying
3,Good size.
3,- Braided cord felt sturdy. Cons
5,Happy Customer
5,Happy Customer
3,CAN NOT turn the light off or pick the color!
2,Looks nice but unchangeable
5,A clear option for a charging cable you won't be disappointed
3,"Faulty mouse, can only speak for customer service"
1,I would not recommend buying this product
2,"purchased for a new desktop, but the mouse and ..."
5,love it.
5,Never get tired of it . . .
3,Fits really big in your hand
2,i don't recommend it for
3,Power and Cap Lock Lights Non-Functional
5,Completely satisfied.
2,Scroll stops working
1,Extremely slow and frustrating.
3,"Eats batteries, small range"
3,Uhh
1,waste of money for cheap product
1,iPhone 6 won't update
2,NOT FUNCTIONING CONSISTENTLY
3,Decent mouse but the buttons have issues. Only 2 ...
5,Great Replacement for my Bose AE2's perfect fit!
5,"No tangles, no problem"
5,Perfect! Fits my speaker like a glove
3,I have and BLU XL which works great this was for my 13 yr
5,awesome and my daughter loves it
1,Booooooo
1,'( worse wireless keyboard I ever used
1,Send me a phone taht only turned on for 10min ...
2,not a happy customer.
1,A beautiful piece of trash
1,When I got this phone it’s not even working right ...
1,Delivered broken
1,AWFUL
5,Great
5,Great
5,Great
5,Best product I found for this kind
1,Mouse does not work!!!
2,Looks and feels amazing. However
5,The case is like hard jelly - it is flexible but not too ...
1,Disappointed with the purchase
1,What the f?!
5,Love this game
5,Works with Huawei MediaPad
1,Dropout Free actually Mean Free Dropouts
5,EXACTLY WHAT I’VE BEEN LOOKING FOR
5,EXACTLY WHAT I’VE BEEN LOOKING FOR
5,EXACTLY WHAT I’VE BEEN LOOKING FOR
5,Speedy delivery and perfect condition
1,If you want a good phone don't buy this
1,Plastic Legs break easily.
1,Disappointed
1,Disappointed
1,Disappointed
2,"Not perfect on all surfaces, low malfunction speed."
4,Decent.
4,"Great Product, Great Price"
1,This came without a receiver. I have looked every ...
1,My experience a Vine this phone was not very good one I bought two of this cell phone and ...
5,To Have Great Customer Service
4,Worth the dough!
2,It did work good for 5 months than when i clic one letter ...
2,Well mine’s got a scratch on it already...
1,2 defectives isn’t a good sign! Cheaper amazon basics I’ve gotten since works ...
1,Mouse broke in 6 months.
3,3 of these have great prints. Very cool looking
5,Adults and kids love it!
1,"Cheap at a glance, but won't last. Buy yourself a nice pair of earbuds instead."
3,"Smaller mouse than previous models, keyboard combo still great however for the price..."
5,worked pretty well. Thank you
2,"especially since I love Logitech, but I am going to"
5,Arrived promptly in original factory packaging. As a former ...
2,Got a great price on this keyboard and was relatively happy with ...
2,I like the compact size of the keyboard and mouse
1,Fake
2,I wanted to like this phone and bought it partly to make it ...
1,Absolutely awful
5,Great Hard Case for the Angle Ultra.
5,:-)
5,It works great. Love it
4,Great iPhone case
2,Was working great for about a week
4,"It's a nice phone, not as big as it looks on ..."
1,Not as advertised.
1,Phone worked fine at first but now it is telling me that ...
5,Bought the phone at a great price for my son for Christmas
5,The phones looked like they could have been brand new out of the ...
1,Really poor product
1,Won't hold when clicked. Not great quality
4,Great after a little practice applying
1,Won't last long
5,Very good service
1,Wasn't a good match for me.
5,It great
1,Logitech keyboard/mouse combo
1,Would not recommend buying this phone
3,Didn't last a month....
4,Great first phone
3,"All and all the phone isn’t terrible, I just expected better"
3,easy enough return process
2,Careful
3,So far the mouse is great it's just the one color didn't work out of ...
3,Fine save for potential product issues.
3,Decent mouse if you want a wider mouse than normal
1,"The battery has a dent, and the phone doesn't ..."
5,This is awesome
1,"Left LEDs not working, mouse freezes up."
1,Warning has connectivity issues a month after light use.
5,10/10 recommend
3,Beats vs. Cords
5,"Works well, overall a really good purchase"
1,This phone was a rip off! They stated when ...
4,Hi im a YouTuber and I would like to request a free sample to advertise and promote ...
2,Keyboard is Unresponsive
3,Average Keyboard and Mouse
1,Problems with lag and interference - bad quality
3,As described.
1,DO NOT ORDER!!!!!!!!!!
3,Recommend
3,Good news is that they are cheap to replace every ...
1,Terrible Lag
4,Good warranty.
1,I posted a good review and that same day my touch screen wouldn't ...
5,Very good quality for the price
1,But it is not a good replaced screen
2,Super frustrating. I don't recommend
5,Not bad
1,Not for America!
3,Not Unifying devices
5,"Easy, find a instructional vid."
5,I nestle up to my bdoy pillow to sleep.
1,Bad product quality.
2,we better hope so
3,It was pretty cool while it lasted
5,"So Far, So Good!"
3,It works.
1,Very Diappointed
1,Words can’t describe how horrible it felt to see her so disappointed
1,Do not waste your time with this product
1,Intermittent connection to keyboard; laggy response to mouse.
2,Rubbish protectors
5,I like these because they are thick and last the test ...
2,Terrible. Keyboard started acting up almost immediately
3,Great monitor and really noticed a HUGE difference when I ...
2,Broke after only 4 months of use.
1,Defective scroll wheel
2,Defective button
3,Super lame.
1,Very disappointed in this Logitech product
1,Not a good buy.
3,"Good value for money, easy setup"
1,Not protecting
2,when I have both the keyboard and mouse powered on ...
1,... a BLU supporter however this time I am greatly disappointed. I read the reviews and decided to purchase ...
5,Fresh and clean
5,Fresh and clean
1,Scroll(Middle Mouse) Stopped working after 2 days.
5,I was extremely satisfied my phone was working perfectly looked brand new and ...
1,Terrible phone. Had for 2 months and the phone ...
4,Great outer case but plastic film for the screen is ...
2,Not as good as Bose
3,Long Range?
5,highly recommend
5,Really good
1,Sad to see logitech has dropped value you in its ...
4,Great phone just no earphones
2,Keyboard Failed
2,"Didn't Work, Very Buggy"
1,The mouse kept working but the keypad is useless. I wanted to return it today but I ...
5,Flat to Fluffed!
5,good for the price
3,Good Wireless Keyboard and Mouse for the price
5,I recommend it to everyone I know!
1,Dead on arrival.
1,Don't recommend
5,nice for the price gif for my cousin in Europe
1,This product is not good.
3,Squirrely at best - and Does NOT work on Linux
4,One tiny issue
1,Quit in 3 1/2 months. Can I return?
5,Excellent Sound Quality
1,CHEAP. Not happy.
5,Excellent phone for the price
5,Very light case
3,Sometimes the keyboard is slow to respond and will duplicate ...
2,Limited coverage with T-mobile
2,Not For The Heavy User
2,well well well
1,"you can NOT Pick it up to move it like most, your thumb slides off the sides because ..."
3,Keyboard keeps disconnecting and reconnecting like 30 seconds later
2,mouse has worked fine so far
5,PHone case.
4,simple and easy to setup and use
2,Good price but not nearly so nice as other Logitech ...
5,For it's size the price was great and no you don't need the double Sim card ...
5,great price.
3,Nice Display But Dead Pixels
4,arrived on time and in good condition but it gets dirty too easily
1,Horrible. Package and contents different. Packaging not even understandable!!!!
2,Low quality products.
2,Already having issues! The delete button gets stuck often...not really stuck...it just doesn't do anything so I keep pressing.
3,"It's pretty, but that does not make it functional"
1,Totally Disappointed
4,no issues with it and it performed as if it was a more expensive product and the seller was great in shipping the package in a fast & effecient ...
4,Excellent rapport qualité/prix
1,Phone lasted less than 1 month.
1,Useless piece of garbage.
1,Battery is dead after 5 months.....
1,AVOID THIS PRODUCT
2,Good deal for the price
4,You get what you pay for
5,Not a Problem
2,"Works fine, as long as you don't game or type fast"
2,Not happy with this product
1,This mouse lasted for 3 months. I used it ...
1,the phone saying no service
2,Broken glass
5,Works perfectly.
5,Protector
1,The phone is messed up. The ringtone is not ...
3,Motion is not smooth for us
3,"Good for the price, but not perfect."
5,great adaptor
3,Mouse on/off switch doesn't work.
5,"Great case, and very reasonably"
1,Screen Responsive Half the Time
1,Screen Responsive Half the Time
4,Phone works well
3,Decent but no bass
1,Worst Smart Phone ever.
2,Bummer
5,100% worth it
2,Ok mouse.
3,Keys come off easily
1,Pretty on the outside but it doesn't work
1,Broke after a few weeks
5,"Perfect Ear Foam Replacement, Feels Brand New"
5,THIS PHONE IS SOOO PERFECT IT IS LIGHT WEIGHT EASY TO OPERATE PRICE IS ...
5,Very Good Case
2,Mouse works fine.
2,2G phone doesn't work with most towers in the US
1,Useless
3,Okay for the price
5,Excellent phone !
1,Completely dissatisfied
1,Broke for no reason
1,Wifi no goog Have to return
5,highly recommended
5,Just as expected
1,These are garbage. falls out of charging port
1,***stay far away***
1,instructions were bad too. No SD card as it said on ...
2,It would have been to expensive to buy so many good cables for every place I want to have one ...
1,Do NOT buy this phone unless you love ads/viruses
1,Bad cutomer service. Not compatible with macbook pro
5,Fantastic for getting rid of fine lines!
2,"Eh, get if your on a super tight budget but even then you'll probably want a better mouse after the first hour of using this one"
5,nice phone
5,Great phone works great in India
5,I am glad that I gave them a chance
4,... on the edge other than that everything else looks good. It comes with an after market charger though
5,Great value and quality
3,Great for the price
4,"I like it, its for my one year old so ..."
4,Really pleased but I've just found out my Bluetooth doesn't work
1,"The Iphone IMEI is not in the AT&T database, ..."
5,& Works Great 🤗 Finally Got My Dream Phone Lol & It's ...
3,"Mouse works great, keyboard not so much"
2,Stopped working after less than 60 days
1,I don't like them
5,this blasts the charge into it.
3,"Good, but they tend to break"
2,Scroll wheel issues
3,"Fair keyboard, fine mouse"
1,It suck don't work on 3g I thought I was getting ...
5,Awesome 👏
4,Good phone but much less memory than promised
1,Bad bad bad!
5,Was really unlocked!
5,Better than expected!
5,Better than expected!
5,Handy Little Case
5,I am very happy with my purchase iPhone 6
2,... wheel stopped working after a couple weeks It was fun while it lasted The lights never turn off and ...
3,"but its max sensitivity is pretty low, and the lights NEVER shut off"
2,Like wtf?
2,Broken after 3 months.
5,Great phone if you have an RCA tablet this phone ...
1,What Was I Thinking
1,Save up your money to buy a better mouse.
2,Just didn't work
4,Awesome Phone
2,Not to be Confused with RP-HJE160-K ErgoFit In-Ear Earbud
2,Can't turn off camera shutter sound.
3,AGGRAVATING PIECE OF DESIGN HAUNTS ME
4,IS what it is
2,Noticeable horizontal flickers for white
4,"Great Iphone, Not original accessories and careful with the Iphone screen"
4,Funny story with this kind of phone
3,which is really annoy. Meanwhile
2,Confused why this keyboard has such a high rating. ...
5,Stylish and durable case
2,Came cracked
5,GREAT BUY.
5,Good Case
3,The range doesn't seem to be as good as advertised and I've noticed
2,won't recharge.
5,good
5,good
5,good
5,Excellent!!!
5,Excellent!!!
5,Brilliant cable
1,"This phone has a problem, it does not accept ..."
3,Big Guns!!
1,You get what you pay for!
2,I would not recommend 👎
1,Awful and useless devices.
1,Do not buy!
1,Do not buy!
3,Seems to work
5,Fun and contagious!
3,RIP Mouse Wheel
5,"Lift it, flip it, lay it down....OH NOOOOOO!  LOL"
4,"Other than that it is good,"
5,Formidable!
2,Mouse stopped working in less than 2 months
2,"Very laggy, the space bar takes seconds to work ..."
1,This is not the mouse you are looking for!
1,I was sent a locked phone. AT&T wasn't able ...
2,Doesn’t work
4,Excellent product at a very competitive price
5,"Excellent phone, very happy"
1,Meh :(
1,It don't work
1,The charger that arrived with the cell phone does not work
3,Pretty Nice
5,"Cute, fun pillow cover"
4,Easy to use
2,The monitor itself was nice - I liked the look
1,Looks good but....
1,This needs to be fixed
2,Buyer Beware...
1,Phone is not unlocked
3,Good looking monitor; no speakers or headphone jack
1,Its crap gets no data from t mobile they don't have ...
1,Horrible lag.
3,External Power Supply?!!!
3,"Would be great, if the center mouse wheel worked"
2,"It works, right until the part where the cursor ..."
5,"Definitely a good price, great screen."
2,Cant get it to work
5,I just received the phone for my son looks like new and so far functioning like new Using with ...
1,It is perfect. My granddaughter saw it and I had to ...
5,Very happy
3,"The battery worked for several weeks, then it would ..."
1,This is a waste of money it does not stick there is no ...
1,The mouse wheel scrolling function doesn't work
4,Protects
1,Very Poorly Made
1,Very disappointed
1,Very disappointed
1,A big mistake
5,This product is amazing. I paired it with their retinol moisturizer
5,This product is amazing. I paired it with their retinol moisturizer
5,This product is amazing. I paired it with their retinol moisturizer
5,This product is amazing. I paired it with their retinol moisturizer
5,This product is amazing. I paired it with their retinol moisturizer
5,Apple iphone 6
5,$15 for 15 is a great value for these quality hydrogels
3,Newer is not always what you need
